Time [s],Channel 1
0.963757800,1
0.963758600,0
0.963759000,1
0.963759900,0
0.963760300,1
0.963761100,0
0.963761500,1
0.963762000,0
0.963762800,1
0.963763200,0
0.963764000,1
0.963764500,0
0.963765300,1
0.963765700,0
0.963766500,1
0.963767000,0
0.963767800,1
0.963768600,0
0.963769000,1
0.963769500,0
0.963770300,1
0.963771100,0
0.963771500,1
0.963772000,0
0.963772800,1
0.963773200,0
0.963774000,1
0.963774500,0
0.963775300,1
0.963775700,0
0.963776500,1
0.963777000,0
0.963777800,1
0.963778200,0
0.963779000,1
0.963779500,0
0.963780300,1
0.963780700,0
0.963781500,1
0.963782000,0
0.963782800,1
0.963783200,0
0.963784000,1
0.963784500,0
0.963785300,1
0.963785700,0
0.963786500,1
0.963787400,0
0.963787800,1
0.963788600,0
0.963789000,1
0.963789900,0
0.963790300,1
0.963791100,0
0.963791500,1
0.963792000,0
0.963792800,1
0.963793200,0
0.963794000,1
0.963794500,0
0.963795300,1
0.963795700,0
0.963796500,1
0.963797000,0
0.963797800,1
0.963798600,0
0.963799000,1
0.963799500,0
0.963800300,1
0.963801100,0
0.963801500,1
0.963802000,0
0.963802800,1
0.963803200,0
0.963804000,1
0.963804500,0
0.963805300,1
0.963805700,0
0.963806500,1
0.963807000,0
0.963807800,1
0.963808200,0
0.963809000,1
0.963809500,0
0.963810300,1
0.963810700,0
0.963811500,1
0.963812000,0
0.963812800,1
0.963813200,0
0.963814000,1
0.963814500,0
0.963815300,1
0.963815700,0
0.963816500,1
0.963817400,0
0.963817800,1
0.963818600,0
0.963819000,1
0.963819900,0
0.963820300,1
0.963821100,0
0.963821500,1
0.963822000,0
0.963822800,1
0.963823200,0
0.963824000,1
0.963824500,0
0.983651500,1
0.983651900,0
0.983652700,1
0.983653200,0
0.983654000,1
0.983654800,0
0.983655200,1
0.983655700,0
0.983656500,1
0.983657300,0
0.983657700,1
0.983658200,0
0.983659000,1
0.983659400,0
0.983660200,1
0.983660600,0
0.983661500,1
0.983661900,0
0.983662700,1
0.983663100,0
0.983664000,1
0.983664400,0
0.983665200,1
0.983665600,0
0.983666500,1
0.983666900,0
0.983667700,1
0.983668100,0
0.983669000,1
0.983669400,0
0.983670200,1
0.983670600,0
0.983671500,1
0.983671900,0
0.983672700,1
0.983673500,0
0.983674000,1
0.983674800,0
0.983675200,1
0.983676000,0
0.983676500,1
0.983677300,0
0.983677700,1
0.983678100,0
0.983679000,1
0.983679400,0
0.983680200,1
0.983680600,0
0.983681500,1
0.983681900,0
0.983682700,1
0.983683100,0
0.983684000,1
0.983684800,0
0.983685200,1
0.983685600,0
0.983686500,1
0.983687300,0
0.983687700,1
0.983688100,0
0.983689000,1
0.983689400,0
0.983690200,1
0.983690600,0
0.983691500,1
0.983691900,0
0.983692700,1
0.983693100,0
0.983694000,1
0.983694400,0
0.983695200,1
0.983695600,0
0.983696500,1
0.983696900,0
0.983697700,1
0.983698100,0
0.983699000,1
0.983699400,0
0.983700200,1
0.983700600,0
0.983701500,1
0.983701900,0
0.983702700,1
0.983703500,0
0.983704000,1
0.983704800,0
0.983705200,1
0.983706000,0
0.983706500,1
0.983707300,0
0.983707700,1
0.983708100,0
0.983709000,1
0.983709400,0
0.983710200,1
0.983710600,0
0.983711500,1
0.983711900,0
0.983712700,1
0.983713100,0
0.983714000,1
0.983714800,0
0.983715200,1
0.983715600,0
0.983716500,1
0.983717300,0
0.983717700,1
0.983718100,0
0.983719000,1
0.983719400,0
0.983720200,1
0.983720600,0
0.983721500,1
0.983721900,0
0.983722700,1
0.983723100,0
0.983724000,1
0.983724400,0
0.983725200,1
0.983725600,0
0.983726500,1
0.983726900,0
0.983727700,1
0.983728100,0
0.983729000,1
0.983729400,0
0.983730200,1
0.983730600,0
0.983731500,1
0.983731900,0
0.983732700,1
0.983733500,0
0.983734000,1
0.983734800,0
0.983735200,1
0.983736000,0
0.983736500,1
0.983737300,0
0.983737700,1
0.983738100,0
0.983739000,1
0.983739400,0
0.983740200,1
0.983740600,0
0.983741500,1
0.983741900,0
0.983742700,1
0.983743100,0
0.983744000,1
0.983744800,0
0.983745200,1
0.983745600,0
0.983746500,1
0.983747300,0
0.983747700,1
0.983748100,0
0.983749000,1
0.983749400,0
0.983750200,1
0.983750600,0
0.983751500,1
0.983751900,0
0.983752700,1
0.983753100,0
0.983754000,1
0.983754400,0
0.983755200,1
0.983755600,0
0.983756500,1
0.983756900,0
0.983757700,1
0.983758100,0
0.983759000,1
0.983759400,0
0.983760200,1
0.983760600,0
0.983761500,1
0.983761900,0
0.983762700,1
0.983763500,0
0.983764000,1
0.983764800,0
0.983765200,1
0.983766000,0
0.983766500,1
0.983767300,0
0.983767700,1
0.983768100,0
0.983769000,1
0.983769400,0
0.983770200,1
0.983770600,0
1.003644400,1
1.003644900,0
1.003645700,1
1.003646100,0
1.003646900,1
1.003647800,0
1.003648200,1
1.003648600,0
1.003649400,1
1.003650300,0
1.003650700,1
1.003651100,0
1.003651900,1
1.003652400,0
1.003653200,1
1.003653600,0
1.003654400,1
1.003654900,0
1.003655700,1
1.003656100,0
1.003656900,1
1.003657400,0
1.003658200,1
1.003658600,0
1.003659400,1
1.003659900,0
1.003660700,1
1.003661100,0
1.003661900,1
1.003662400,0
1.003663200,1
1.003663600,0
1.003664400,1
1.003664900,0
1.003665700,1
1.003666500,0
1.003666900,1
1.003667800,0
1.003668200,1
1.003669000,0
1.003669400,1
1.003670300,0
1.003670700,1
1.003671100,0
1.003671900,1
1.003672400,0
1.003673200,1
1.003673600,0
1.003674400,1
1.003674900,0
1.003675700,1
1.003676100,0
1.003676900,1
1.003677800,0
1.003678200,1
1.003678600,0
1.003679400,1
1.003680300,0
1.003680700,1
1.003681100,0
1.003681900,1
1.003682400,0
1.003683200,1
1.003683600,0
1.003684400,1
1.003684900,0
1.003685700,1
1.003686100,0
1.003686900,1
1.003687400,0
1.003688200,1
1.003688600,0
1.003689400,1
1.003689900,0
1.003690700,1
1.003691100,0
1.003691900,1
1.003692400,0
1.003693200,1
1.003693600,0
1.003694400,1
1.003694900,0
1.003695700,1
1.003696500,0
1.003696900,1
1.003697800,0
1.003698200,1
1.003699000,0
1.003699400,1
1.003700300,0
1.003700700,1
1.003701100,0
1.003701900,1
1.003702400,0
1.003703200,1
1.003703600,0
1.003704400,1
1.003704900,0
1.003705700,1
1.003706100,0
1.003706900,1
1.003707800,0
1.003708200,1
1.003708600,0
1.003709400,1
1.003710300,0
1.003710700,1
1.003711100,0
1.003711900,1
1.003712400,0
1.003713200,1
1.003713600,0
1.003714400,1
1.003714900,0
1.003715700,1
1.003716100,0
1.003716900,1
1.003717400,0
1.003718200,1
1.003718600,0
1.003719400,1
1.003719900,0
1.003720700,1
1.003721100,0
1.003721900,1
1.003722400,0
1.003723200,1
1.003723600,0
1.003724400,1
1.003724900,0
1.003725700,1
1.003726500,0
1.003726900,1
1.003727800,0
1.003728200,1
1.003729000,0
1.003729400,1
1.003730300,0
1.003730700,1
1.003731100,0
1.003731900,1
1.003732400,0
1.003733200,1
1.003733600,0
1.003734400,1
1.003734900,0
1.003735700,1
1.003736100,0
1.003736900,1
1.003737800,0
1.003738200,1
1.003738600,0
1.003739400,1
1.003740300,0
1.003740700,1
1.003741100,0
1.003741900,1
1.003742400,0
1.003743200,1
1.003743600,0
1.003744400,1
1.003744900,0
1.003745700,1
1.003746100,0
1.003746900,1
1.003747400,0
1.003748200,1
1.003748600,0
1.003749400,1
1.003749900,0
1.003750700,1
1.003751100,0
1.003751900,1
1.003752400,0
1.003753200,1
1.003753600,0
1.003754400,1
1.003754900,0
1.003755700,1
1.003756500,0
1.003756900,1
1.003757800,0
1.003758200,1
1.003759000,0
1.003759400,1
1.003760300,0
1.003760700,1
1.003761100,0
1.003761900,1
1.003762400,0
1.003763200,1
1.003763600,0
1.023644400,1
1.023644800,0
1.023645600,1
1.023646100,0
1.023646900,1
1.023647700,0
1.023648100,1
1.023648600,0
1.023649400,1
1.023650200,0
1.023650600,1
1.023651100,0
1.023651900,1
1.023652300,0
1.023653100,1
1.023653600,0
1.023654400,1
1.023654800,0
1.023655600,1
1.023656100,0
1.023656900,1
1.023657300,0
1.023658100,1
1.023658600,0
1.023659400,1
1.023659800,0
1.023660600,1
1.023661100,0
1.023661900,1
1.023662300,0
1.023663100,1
1.023663600,0
1.023664400,1
1.023664800,0
1.023665600,1
1.023666500,0
1.023666900,1
1.023667700,0
1.023668100,1
1.023669000,0
1.023669400,1
1.023670200,0
1.023670600,1
1.023671100,0
1.023671900,1
1.023672300,0
1.023673100,1
1.023673600,0
1.023674400,1
1.023674800,0
1.023675600,1
1.023676100,0
1.023676900,1
1.023677700,0
1.023678100,1
1.023678600,0
1.023679400,1
1.023680200,0
1.023680600,1
1.023681100,0
1.023681900,1
1.023682300,0
1.023683100,1
1.023683600,0
1.023684400,1
1.023684800,0
1.023685600,1
1.023686100,0
1.023686900,1
1.023687300,0
1.023688100,1
1.023688600,0
1.023689400,1
1.023689800,0
1.023690600,1
1.023691100,0
1.023691900,1
1.023692300,0
1.023693100,1
1.023693600,0
1.023694400,1
1.023694800,0
1.023695600,1
1.023696500,0
1.023696900,1
1.023697700,0
1.023698100,1
1.023699000,0
1.023699400,1
1.023700200,0
1.023700600,1
1.023701100,0
1.023701900,1
1.023702300,0
1.023703100,1
1.023703600,0
1.023704400,1
1.023704800,0
1.023705600,1
1.023706100,0
1.023706900,1
1.023707700,0
1.023708100,1
1.023708600,0
1.023709400,1
1.023710200,0
1.023710600,1
1.023711100,0
1.023711900,1
1.023712300,0
1.023713100,1
1.023713600,0
1.023714400,1
1.023714800,0
1.023715600,1
1.023716100,0
1.023716900,1
1.023717300,0
1.023718100,1
1.023718600,0
1.023719400,1
1.023719800,0
1.023720600,1
1.023721100,0
1.023721900,1
1.023722300,0
1.023723100,1
1.023723600,0
1.023724400,1
1.023724800,0
1.023725600,1
1.023726500,0
1.023726900,1
1.023727700,0
1.023728100,1
1.023729000,0
1.023729400,1
1.023730200,0
1.023730600,1
1.023731100,0
1.023731900,1
1.023732300,0
1.023733100,1
1.023733600,0
1.023734400,1
1.023734800,0
1.023735600,1
1.023736100,0
1.023736900,1
1.023737700,0
1.023738100,1
1.023738600,0
1.023739400,1
1.023740200,0
1.023740600,1
1.023741100,0
1.023741900,1
1.023742300,0
1.023743100,1
1.023743600,0
1.023744400,1
1.023744800,0
1.023745600,1
1.023746100,0
1.023746900,1
1.023747300,0
1.023748100,1
1.023748600,0
1.023749400,1
1.023749800,0
1.023750600,1
1.023751100,0
1.023751900,1
1.023752300,0
1.023753100,1
1.023753600,0
1.023754400,1
1.023754800,0
1.023755600,1
1.023756500,0
1.023756900,1
1.023757700,0
1.023758100,1
1.023759000,0
1.023759400,1
1.023760200,0
1.023760600,1
1.023761100,0
1.023761900,1
1.023762300,0
1.023763100,1
1.023763600,0
1.043644300,1
1.043644800,0
1.043645600,1
1.043646000,0
1.043646800,1
1.043647600,0
1.043648100,1
1.043648500,0
1.043649300,1
1.043650100,0
1.043650600,1
1.043651000,0
1.043651800,1
1.043652200,0
1.043653100,1
1.043653500,0
1.043654300,1
1.043654700,0
1.043655600,1
1.043656000,0
1.043656800,1
1.043657200,0
1.043658100,1
1.043658500,0
1.043659300,1
1.043659700,0
1.043660600,1
1.043661000,0
1.043661800,1
1.043662200,0
1.043663100,1
1.043663500,0
1.043664300,1
1.043664700,0
1.043665600,1
1.043666400,0
1.043666800,1
1.043667600,0
1.043668100,1
1.043668900,0
1.043669300,1
1.043670100,0
1.043670600,1
1.043671000,0
1.043671800,1
1.043672200,0
1.043673100,1
1.043673500,0
1.043674300,1
1.043674700,0
1.043675600,1
1.043676000,0
1.043676800,1
1.043677600,0
1.043678100,1
1.043678500,0
1.043679300,1
1.043680100,0
1.043680600,1
1.043681000,0
1.043681800,1
1.043682200,0
1.043683100,1
1.043683500,0
1.043684300,1
1.043684700,0
1.043685600,1
1.043686000,0
1.043686800,1
1.043687200,0
1.043688100,1
1.043688500,0
1.043689300,1
1.043689700,0
1.043690600,1
1.043691000,0
1.043691800,1
1.043692200,0
1.043693100,1
1.043693500,0
1.043694300,1
1.043694700,0
1.043695600,1
1.043696400,0
1.043696800,1
1.043697600,0
1.043698100,1
1.043698900,0
1.043699300,1
1.043700100,0
1.043700600,1
1.043701000,0
1.043701800,1
1.043702200,0
1.043703100,1
1.043703500,0
1.043704300,1
1.043704700,0
1.043705600,1
1.043706000,0
1.043706800,1
1.043707600,0
1.043708100,1
1.043708500,0
1.043709300,1
1.043710100,0
1.043710600,1
1.043711000,0
1.043711800,1
1.043712200,0
1.043713100,1
1.043713500,0
1.043714300,1
1.043714700,0
1.043715600,1
1.043716000,0
1.043716800,1
1.043717200,0
1.043718100,1
1.043718500,0
1.043719300,1
1.043719700,0
1.043720600,1
1.043721000,0
1.043721800,1
1.043722200,0
1.043723100,1
1.043723500,0
1.043724300,1
1.043724700,0
1.043725600,1
1.043726400,0
1.043726800,1
1.043727600,0
1.043728100,1
1.043728900,0
1.043729300,1
1.043730100,0
1.043730600,1
1.043731000,0
1.043731800,1
1.043732200,0
1.043733100,1
1.043733500,0
1.043734300,1
1.043734700,0
1.043735600,1
1.043736000,0
1.043736800,1
1.043737600,0
1.043738100,1
1.043738500,0
1.043739300,1
1.043740100,0
1.043740600,1
1.043741000,0
1.043741800,1
1.043742200,0
1.043743100,1
1.043743500,0
1.043744300,1
1.043744700,0
1.043745600,1
1.043746000,0
1.043746800,1
1.043747200,0
1.043748100,1
1.043748500,0
1.043749300,1
1.043749700,0
1.043750600,1
1.043751000,0
1.043751800,1
1.043752200,0
1.043753100,1
1.043753500,0
1.043754300,1
1.043754700,0
1.043755600,1
1.043756400,0
1.043756800,1
1.043757600,0
1.043758100,1
1.043758900,0
1.043759300,1
1.043760100,0
1.043760600,1
1.043761000,0
1.043761800,1
1.043762200,0
1.043763100,1
1.043763500,0
1.063644200,1
1.063644700,0
1.063645500,1
1.063645900,0
1.063646700,1
1.063647600,0
1.063648000,1
1.063648400,0
1.063649200,1
1.063650100,0
1.063650500,1
1.063650900,0
1.063651700,1
1.063652200,0
1.063653000,1
1.063653400,0
1.063654200,1
1.063654700,0
1.063655500,1
1.063655900,0
1.063656700,1
1.063657200,0
1.063658000,1
1.063658400,0
1.063659200,1
1.063659700,0
1.063660500,1
1.063660900,0
1.063661700,1
1.063662200,0
1.063663000,1
1.063663400,0
1.063664200,1
1.063664700,0
1.063665500,1
1.063666300,0
1.063666700,1
1.063667600,0
1.063668000,1
1.063668800,0
1.063669200,1
1.063670100,0
1.063670500,1
1.063670900,0
1.063671700,1
1.063672200,0
1.063673000,1
1.063673400,0
1.063674200,1
1.063674700,0
1.063675500,1
1.063675900,0
1.063676700,1
1.063677600,0
1.063678000,1
1.063678400,0
1.063679200,1
1.063680100,0
1.063680500,1
1.063680900,0
1.063681700,1
1.063682200,0
1.063683000,1
1.063683400,0
1.063684200,1
1.063684700,0
1.063685500,1
1.063685900,0
1.063686700,1
1.063687200,0
1.063688000,1
1.063688400,0
1.063689200,1
1.063689700,0
1.063690500,1
1.063690900,0
1.063691700,1
1.063692200,0
1.063693000,1
1.063693400,0
1.063694200,1
1.063694700,0
1.063695500,1
1.063696300,0
1.063696700,1
1.063697600,0
1.063698000,1
1.063698800,0
1.063699200,1
1.063700100,0
1.063700500,1
1.063700900,0
1.063701700,1
1.063702200,0
1.063703000,1
1.063703400,0
1.063704200,1
1.063704700,0
1.063705500,1
1.063705900,0
1.063706700,1
1.063707600,0
1.063708000,1
1.063708400,0
1.063709200,1
1.063710100,0
1.063710500,1
1.063710900,0
1.063711700,1
1.063712200,0
1.063713000,1
1.063713400,0
1.063714200,1
1.063714700,0
1.063715500,1
1.063715900,0
1.063716700,1
1.063717200,0
1.063718000,1
1.063718400,0
1.063719200,1
1.063719700,0
1.063720500,1
1.063720900,0
1.063721700,1
1.063722200,0
