Time [s],Channel 0,Channel 1
0.403470480,1,0
0.403471120,1,1
0.403480480,1,0
0.403484240,0,0
0.403486600,1,0
0.403487320,1,1
0.403495880,1,0
0.403500000,0,0
0.403502600,1,0
0.403503200,1,1
0.403511720,1,0
0.403515840,0,0
0.403518600,1,0
0.403519240,1,1
0.403527400,1,0
0.403531800,0,0
0.403534600,1,0
0.403535240,1,1
0.403542120,1,0
0.403547680,0,0
0.403550640,1,0
0.403551200,1,1
0.403557720,1,0
0.403563240,0,0
0.403566600,1,0
0.403567200,1,1
0.403572160,1,0
0.403575640,0,0
0.403582800,1,0
0.403583240,1,1
0.403587960,1,0
0.403591640,0,0
0.403598680,1,0
0.403599320,1,1
0.403604120,1,0
0.403607720,0,0
0.403614720,1,0
0.403615400,1,1
0.403619880,1,0
0.403627120,0,0
0.403630720,1,0
0.403631440,1,1
0.403635720,1,0
0.403638640,0,0
0.403646840,1,0
0.403647600,1,1
0.403651520,1,0
0.403653000,0,0
0.403662800,1,0
0.403663400,1,1
0.403667320,1,0
0.403669560,0,0
0.403678800,1,0
0.403679520,1,1
0.403682920,1,0
0.403684680,0,0
0.403694840,1,0
0.403695720,1,1
0.403697640,1,0
0.403700240,0,0
0.403710840,1,0
0.403716120,0,0
0.403726720,1,0
0.403727720,1,1
0.403729760,1,0
0.403732480,0,0
0.403742640,1,0
0.403744040,1,1
0.403745440,1,0
0.403748000,0,0
0.403758680,1,0
0.403759840,1,1
0.403761320,1,0
0.403763840,0,0
0.403774520,1,0
0.403775120,1,1
0.403777440,1,0
0.403780040,0,0
0.403790480,1,0
0.403791240,1,1
0.403793920,1,0
0.403795920,0,0
0.403806360,1,0
0.403807160,1,1
0.403808960,1,0
0.403811520,0,0
0.403822480,1,0
0.403823200,1,1
0.403825160,1,0
0.403827720,0,0
0.403838400,1,0
0.403843200,0,0
0.403854320,1,0
0.403855240,1,1
0.403857400,1,0
0.403859400,0,0
0.403870360,1,0
0.403875160,0,0
0.403886360,1,0
0.403887720,1,1
0.403888640,1,0
0.403891280,0,0
0.403902320,1,0
0.403902920,1,1
0.403904920,1,0
0.403907080,0,0
0.403918320,1,0
0.403923320,0,0
0.403934200,1,0
0.403938840,0,0
0.403950320,1,0
0.403950920,1,1
0.403952920,1,0
0.403955120,0,0
0.403966200,1,0
0.403967320,1,1
0.403968400,1,0
0.403970680,0,0
0.403982200,1,0
0.403982960,1,1
0.403984680,1,0
0.403986800,0,0
0.403998120,1,0
0.404002800,0,0
0.404014160,1,0
0.404018400,0,0
0.404030080,1,0
0.404034600,0,0
0.404046080,1,0
0.404050240,0,0
0.404062000,1,0
0.404066400,0,0
0.404078200,1,0
0.404082120,0,0
0.404094040,1,0
0.404098400,0,0
0.404110160,1,0
0.404113800,0,0
0.404126120,1,0
0.404130160,0,0
0.404142160,1,0
0.404145520,0,0
0.404158040,1,0
0.404158640,1,1
0.404160240,1,0
0.404162040,0,0
0.404174080,1,0
0.404177280,0,0
0.404190000,1,0
0.404193520,0,0
0.404206040,1,0
0.404209240,0,0
0.404221880,1,0
0.404225160,0,0
0.404237880,1,0
0.404240760,0,0
0.404253920,1,0
0.404257080,0,0
0.404269720,1,0
0.404272680,0,0
0.404285840,1,0
0.404288920,0,0
0.404301760,1,0
0.404304320,0,0
0.404304360,1,0
0.404304400,0,0
0.404317760,1,0
0.404318720,1,1
0.404319400,1,0
0.404320760,0,0
0.404333640,1,0
0.404336720,0,0
0.404349640,1,0
0.404352600,0,0
0.404365640,1,0
0.404368720,0,0
